Timestamp,"Do you play modded Celeste maps? (Strawberry Jam, spring collab, ect)",If so what is the level of your best completed map?,If you do not play modded maps what in game levels are you currently playing?,What percentage of Celeste players do you think you are in? (1% meaning you're better than 99% of players and 99% meaning you're better than 1% of players) Also keep in mind that only 8% of players have completed farewell according to steam.,How many hours do you have in Celeste?,,,,,
1/29/2024 3:41:26,Yes,Yellow Expert,,5%,500-750,,,,,
1/29/2024 3:42:01,Yes,Grandmaster+,,0.50%,1000-1500,,,,,
1/29/2024 3:42:12,No,,Farewell,7.50%,1000-1500,,,,,
1/29/2024 3:44:27,No,,Farewell,7.50%,20-30,,,,,
1/29/2024 3:44:39,Yes,Green Expert,,3%,500-750,,,,,
1/29/2024 3:47:06,Yes,Red Intermediate,Farewell,35%,40-50,,,,,
1/29/2024 3:47:23,Yes,Red Intermediate,,7.50%,60-75,,,,,
1/29/2024 3:47:48,Yes,Green Intermediate,Farewell,65%,30-40,,,,,
1/29/2024 3:51:40,Yes,Yellow Grandmaster,,3%,2000+,,,,,
1/29/2024 3:51:46,No,,Farewell,7.50%,150-200,,,,,
1/29/2024 3:52:07,No,,,75%,30-40,,,,,
1/29/2024 3:55:34,Yes,Red Advanced,,55%,100-150,,,,,
1/29/2024 3:56:55,No,,Farewell,25%,40-50,,,,,
1/29/2024 3:57:50,Yes,Red Advanced,,3%,100-150,,,,,
1/29/2024 4:02:43,Yes,Green Advanced,,3%,200-300,,,,,
1/29/2024 4:02:45,Yes,Red Beginner,Farewell,7.50%,75-100,,,,,
1/29/2024 4:04:08,Yes,Yellow Intermediate,,3%,100-150,,,,,
1/29/2024 4:06:38,Yes,Red Advanced,,15%,60-75,,,,,
1/29/2024 4:06:59,Yes,Red Expert,,0.50%,150-200,,,,,
1/29/2024 4:07:42,No,,Farewell,15%,60-75,,,,,
1/29/2024 4:12:38,Yes,Grandmaster+,,0.50%,500-750,,,,,
1/29/2024 4:13:25,No,,,7.50%,500-750,,,,,
1/29/2024 4:13:37,Yes,Green Intermediate,,15%,200-300,,,,,
1/29/2024 4:14:30,Yes,Grandmaster+,,3%,100-150,,,,,
1/29/2024 4:16:53,Yes,Yellow Intermediate,Core,45%,75-100,,,,,
1/29/2024 4:18:52,Yes,Green Expert,,7.50%,75-100,,,,,
1/29/2024 4:21:17,No,,Farewell,25%,40-50,,,,,
1/29/2024 4:22:16,Yes,Yellow Advanced,Farewell,65%,100-150,,,,,
1/29/2024 4:26:07,Yes,Grandmaster+,,3%,300-500,,,,,
1/29/2024 4:28:27,Yes,Yellow Intermediate,,3%,20-30,,,,,
1/29/2024 4:29:31,No,,C-Sides 3-5,25%,10-20,,,,,
1/29/2024 4:30:36,Yes,Green Advanced,,5%,100-150,,,,,
1/29/2024 4:33:43,No,,Farewell,7.50%,200-300,,,,,
1/29/2024 4:34:22,No,,Farewell,3%,40-50,,,,,
1/29/2024 4:35:32,Yes,Green Advanced,,15%,200-300,,,,,
1/29/2024 4:36:20,Yes,Grandmaster+,,0.50%,1500-2000,,,,,
1/29/2024 4:39:38,No,,C-Sides 1-2,35%,20-30,,,,,
1/29/2024 4:40:05,Yes,Yellow Intermediate,Farewell,45%,100-150,,,,,
1/29/2024 4:40:08,Yes,Grandmaster+,,0.50%,1000-1500,,,,,
1/29/2024 4:42:00,Yes,Grandmaster+,,3%,200-300,,,,,
1/29/2024 4:46:32,Yes,Yellow Expert,,0.50%,300-500,,,,,
1/29/2024 4:49:53,Yes,Grandmaster+,,3%,300-500,,,,,
1/29/2024 4:53:20,Yes,Green Expert,,3%,150-200,,,,,
1/29/2024 4:55:59,Yes,Red Advanced,,25%,100-150,,,,,
1/29/2024 4:58:21,Yes,Red Advanced,,55%,500-750,,,,,
1/29/2024 5:09:07,Yes,Red Grandmaster,,0.50%,750-1000,,,,,
1/29/2024 5:09:16,No,,,7.50%,200-300,,,,,
1/29/2024 5:11:16,Yes,Red Advanced,,3%,100-150,,,,,
1/29/2024 5:17:09,No,,Farewell,15%,50-60,,,,,
1/29/2024 5:18:45,No,,Farewell,65%,60-75,,,,,
1/29/2024 5:22:53,Yes,Yellow Intermediate,Farewell,3%,50-60,,,,,
1/29/2024 5:24:02,Yes,Yellow Expert,Farewell,15%,1000-1500,,,,,
1/29/2024 5:24:34,Yes,Red Advanced,,7.50%,300-500,,,,,
1/29/2024 5:24:46,No,,Farewell,15%,50-60,,,,,
1/29/2024 5:32:38,No,,Farewell,7.50%,50-60,,,,,
1/29/2024 5:37:10,Yes,Yellow Expert,,15%,30-40,,,,,
1/29/2024 5:39:17,Yes,Red Expert,,3%,60-75,,,,,
1/29/2024 5:39:46,No,,Farewell,7.50%,75-100,,,,,
1/29/2024 5:41:56,Yes,Yellow Intermediate,Chapters 4-5,15%,75-100,,,,,
1/29/2024 5:47:43,No,,Farewell,7.50%,150-200,,,,,
1/29/2024 5:48:46,Yes,Green Expert,,3%,1000-1500,,,,,
1/29/2024 5:50:16,No,Red Intermediate,B-Sides 3-5,35%,100-150,,,,,
1/29/2024 5:50:24,Yes,Red Intermediate,,7.50%,200-300,,,,,
1/29/2024 5:50:55,Yes,Yellow Expert,,3%,300-500,,,,,
1/29/2024 5:52:36,Yes,Yellow Advanced,,3%,150-200,,,,,
1/29/2024 5:52:38,Yes,Red Advanced,,3%,300-500,,,,,
1/29/2024 5:52:39,Yes,Green Advanced,,7.50%,200-300,,,,,
1/29/2024 5:57:34,Yes,Red Beginner,,7.50%,50-60,,,,,
1/29/2024 5:59:36,Yes,Yellow Beginner,,75.00%,30-40,,,,48.13%,
1/29/2024 6:07:24,Yes,Green Advanced,,7.50%,200-300,,,,29%,
1/29/2024 6:10:38,No,,Farewell,65%,100-150,,,,,
1/29/2024 6:14:13,Yes,Green Grandmaster,,0.50%,750-1000,,,,,
1/29/2024 6:14:52,No,,Chapters 4-5,75%,5-10,,,,,
1/29/2024 6:15:18,Yes,Yellow Expert,,3%,500-750,,,,,
1/29/2024 6:15:20,No,,C-Sides 3-5,7.50%,60-75,,,,,
1/29/2024 6:15:25,No,,Core,85%,20-30,,,,,
1/29/2024 6:16:07,No,,Farewell,7.50%,30-40,,,,,
1/29/2024 6:17:04,No,,Farewell,7.50%,50-60,,,,,
1/29/2024 6:17:24,Yes,Yellow Expert,,25%,75-100,,,,,
1/29/2024 6:17:38,No,,Farewell,75%,200-300,,,,,
1/29/2024 6:22:53,Yes,Red Beginner,Farewell,45%,200-300,,,,,
1/29/2024 6:26:08,No,,Farewell,3%,500-750,,,,,
1/29/2024 6:27:23,No,,Farewell,3%,200-300,,,,,
1/29/2024 6:29:10,Yes,Red Grandmaster,,7.50%,200-300,,,,,
1/29/2024 6:29:41,Yes,Yellow Intermediate,,55%,60-75,,,,,
1/29/2024 6:29:56,Yes,Grandmaster+,,0.50%,750-1000,,,,,
1/29/2024 6:31:23,No,,Farewell,7.50%,60-75,,,,,
1/29/2024 6:34:34,Yes,Yellow Advanced,Farewell,15%,75-100,,,,,
1/29/2024 6:35:57,Yes,Yellow Advanced,,55%,100-150,,,,,
1/29/2024 6:38:16,Yes,Green Intermediate,,7.50%,150-200,,,,,
1/29/2024 6:38:39,Yes,Red Advanced,,7.50%,150-200,,,,,
1/29/2024 6:40:10,Yes,Red Intermediate,,7.50%,150-200,,,,,
1/29/2024 6:42:51,Yes,Red Advanced,,3%,100-150,,,,,
1/29/2024 6:43:11,No,,C-Sides 6-7,45%,100-150,,,,,
1/29/2024 6:45:14,No,,Farewell,85%,75-100,,,,,
1/29/2024 6:50:29,Yes,Yellow Advanced,,75%,150-200,,,,,
1/29/2024 6:53:43,No,,B-Sides 3-5,45%,20-30,,,,,
1/29/2024 6:55:05,No,,B-Sides 3-5,25%,30-40,,,,,
1/29/2024 6:55:12,Yes,Yellow Grandmaster,Farewell,0.50%,2000+,,,,,
1/29/2024 6:58:39,No,,Farewell,65%,50-60,,,,,
1/29/2024 7:00:02,Yes,Grandmaster+,,3%,750-1000,,,,,
1/29/2024 7:02:14,No,,Farewell,85%,100-150,,,,,
1/29/2024 7:03:13,No,,B-Sides 6-7,35%,20-30,,,,,
1/29/2024 7:06:15,No,,B-Sides 6-7,3%,100-150,,,,,
1/29/2024 7:06:17,Yes,Red Expert,,0.50%,300-500,,,,,
1/29/2024 7:13:44,No,,Farewell,3%,75-100,,,,,
1/29/2024 7:18:19,Yes,Yellow Intermediate,C-Sides 3-5,3%,75-100,,,,,
1/29/2024 7:21:57,Yes,Yellow Expert,,7.50%,300-500,,,,,
1/29/2024 7:22:25,Yes,Red Advanced,,7.50%,500-750,,,,,
1/29/2024 7:22:36,No,,Farewell,55%,100-150,,,,,
1/29/2024 7:22:53,No,,,7.50%,75-100,,,,,
1/29/2024 7:23:39,Yes,Grandmaster+,Farewell,7.50%,500-750,,,,,
1/29/2024 7:24:14,Yes,Grandmaster+,,3%,2000+,,,,,
1/29/2024 7:26:07,No,,Farewell,25%,60-75,,,,,
1/29/2024 7:28:01,Yes,Red Expert,Farewell,7.50%,300-500,,,,,
1/29/2024 7:28:21,Yes,Yellow Grandmaster,,15%,750-1000,,,,,
1/29/2024 7:30:23,No,,,0.50%,150-200,,,,,
1/29/2024 7:31:17,Yes,Green Grandmaster,,0.50%,300-500,,,,,
1/29/2024 7:32:50,Yes,Red Advanced,,0.50%,100-150,,,,,
1/29/2024 7:33:04,No,,B-Sides 6-7,65%,30-40,,,,,
1/29/2024 7:46:56,Yes,Green Advanced,,3%,200-300,,,,,
1/29/2024 7:49:14,Yes,Red Advanced,Farewell,7.50%,50-60,,,,,
1/29/2024 7:49:30,Yes,Grandmaster+,,3%,1000-1500,,,,,
